Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
8911JB	0	3.28E-05	3.28E-05	0	0.978749261	0	0	6.57E-05	0	0	0	0.000492676	0.000164225	0	0	0	0	0.00019707	0.007981344	0	0	0	0.000229915	0	0.000558366	0	0	0	0	0	0	6.57E-05	6.57E-05	0	0	0	0.00013138	0	0	0	0	0.002923208	0	0	0	0.007817119	3.28E-05	0	0	3.28E-05	0	0.000229915	0	0	0	0	0	0	6.57E-05	0	0	8911J	PAIR_J	Daughter
8911J1	1	6.78E-05	0.000745459	0	0.77832746	0	0	0.003659528	0	0	0	0.001490919	0.002507455	0	0.005150447	0	0.003117376	0.004540526	0.145296828	0	0	0.00142315	0.001016536	0.001152074	0.005218216	0	6.78E-05	0	0	0	0	0.000542152	6.78E-05	0	0.000203307	0	0.000203307	0	0	0.000745459	0	0	0	0	0	0.042084576	0	0	0	6.78E-05	0.000338845	0	0	0	0	0	0	0	0	0	0.000135538	8911J	PAIR_J	Daughter
8911J2	2	0.000505902	0.000281057	0	0.393535694	0.002360877	0.00123665	0.004215852	0	0	0	0.000618325	0.006183249	0	0.008038224	0	0.005958404	0.006408094	0.505452501	0	0	0.000730748	0.003035413	0.00123665	0.006801574	0	0.000562114	0	0	0	0	0.002248454	0	0	0.000168634	0	0.00084317	5.62E-05	5.62E-05	0.000112423	0	0.003260259	0.003653738	0.000337268	0	0.039347948	0	0	0	0.000393479	5.62E-05	0	0	0.000112423	0	0	0	0.00084317	0	0	0	8911J	PAIR_J	Daughter
8911J3	3	0	0.009478673	0	0.417061611	0	0	0.003159558	0	0	0	0	0.001579779	0	0	0	0	0.017377567	0.429699842	0.001579779	0	0.003159558	0	0.004739336	0.007898894	0	0	0	0	0	0	0	0.001579779	0	0	0	0	0	0.003159558	0	0	0	0.012638231	0	0	0.048973144	0	0.001579779	0	0	0	0	0	0	0	0	0	0	0.023696682	0	0	8911J	PAIR_J	Daughter
8911J4	4	0.000463106	0.000926212	0	0.359678913	0	0	0	0	0	0	0	0.002778635	0	0.003704847	0	0	0.002624267	0.579962952	0	0	0	0	0.000771843	0.006020377	0	0.000617475	0	0	0	0	0	0.000308737	0	0	0	0	0	0	0	0	0	0	0	0.000463106	0.037048472	0	0	0	0	0	0	0	0	0	0	0	0	0.001389318	0	0.000308737	8911J	PAIR_J	Daughter
L8895B	0	2.95E-05	0.003948027	0.24138947	0	0	0.063728234	0.076839221	0.074835744	0.081140803	0.082849651	0	0	0.020594561	0	0.11269556	0.020830264	0	0	0	2.95E-05	0.051825226	0	0	0	0.010046846	0	0.02578003	0.03647506	0.012521729	0	0.030140538	0	5.89E-05	0.009280811	0.012875284	0.012845821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L8895	PAIR_L	Mother
L88951	1	7.65E-05	7.65E-05	0.326265835	0	0	0.028454973	0.103639634	0.072677868	0.084561216	0.043572276	0	7.65E-05	0.098090245	0	0.093248881	0.001205557	1.91E-05	0	0	0	0.013739523	3.83E-05	0	3.83E-05	0.018733974	0	0.024723487	0.011328409	0.004286425	0	0.020992001	0	1.91E-05	0.005817291	0.024953117	0.010429025	0	0	0	3.83E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L8895	PAIR_L	Mother
L88952	2	2.54E-05	7.61E-05	0.282921759	0	0	0.018001116	0.087698393	0.070964961	0.035216267	0.049819989	0	0.000228183	0.160057806	0	0.088560418	0.013158562	0	0	0	0	0.008037118	2.54E-05	0	0	0.067542214	0	0.023173267	0.013716343	0.000862025	0	0.023959231	0	0.000101415	0.001267684	0.036560012	0.007048324	0	0.000152122	0	0	2.54E-05	0	0	2.54E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	L8895	PAIR_L	Mother
L88953	3	2.60E-05	0.000103842	0.175986501	2.60E-05	0	0.1894081	0.113862928	0.060384216	0.166926272	0.02357217	0	2.60E-05	0.057995846	0	0.061292835	0.00913811	0	0	0	0	0.015420561	0	0	0	0.027102804	0	0.005970924	0.014849429	0.002102804	0	0.026064382	0	0	0.000571132	0.020716511	0.009813084	0	5.19E-05	0	0	0	0	0	0.000129803	0	0	0	0	0	0	0	0	0	0	2.60E-05	0	0	0	0	0	L8895	PAIR_L	Mother
L88954	4	0.004620933	0.00026298	0.511082726	0	7.51E-05	0.008603201	0.063828988	0.046434743	0.033511158	0.017882636	3.76E-05	0.000488391	0.122172966	0	0.073108423	0.007626418	0.000112706	0	0	0	0.006649636	0.000187843	0	0	0.042903299	0	0.008978886	0.007138027	0.000901646	0	0.014501465	0	0.000450823	0.000713803	0.02013675	0.003306034	0	3.76E-05	0	0	0	0	0	7.51E-05	0	0	0	0	0	0	0	0	0	0	3.76E-05	0	0	0	0	0.000112706	L8895	PAIR_L	Mother
9565LB	0	9.03E-05	0.914522971	0.024189909	0	0	0.003068869	0.007581912	0.003971478	0.003700695	0.004151999	0	0.000541565	0.000361043	0.000361043	0.008394259	0.000812348	0.000631826	0	0	0.011282607	0.002798086	0	0.000631826	0	0.000270783	0	0.001263652	0.002707826	0.000722087	0	0.001985739	0	0	0.000631826	0.000992869	0.000541565	0	0	0	0	0	0	0	0	0	0	0	9.03E-05	0	0.000631826	0	0	0	0	0	0	0	0	0	0	9565L	PAIR_L	Daughter
9565L1	1	5.56E-05	0.992993383	0.000166824	0	0	0	0.000834121	0	0.000111216	5.56E-05	0	0.000500473	0	0.000222432	5.56E-05	0.000222432	0.00027804	0	0	0.003503309	0.000111216	0	0.000444865	0	0	0	0	0	0	0	0	5.56E-05	0	0.000222432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111216	0	0	0	0	0	0	0	9565L	PAIR_L	Daughter
9565L2	2	0	0.978889304	8.29E-05	0	0	0	0.003027664	0	0	0	0	0.002364066	0	8.29E-05	0	0.001990793	0.000124425	0	0	0.001493094	0.000124425	0.000580648	0.001990793	0	4.15E-05	0	0	0	0	0.007921695	0	0	0	0	0	8.29E-05	0	0	0	0	0.000165899	0	0	0	0	0	0	0	4.15E-05	4.15E-05	0	0	0	0	0	0	0	0	4.15E-05	4.15E-05	9565L	PAIR_L	Daughter
9565L3	3	0	0.973538545	0.000945052	0	0	0.00054003	0.001620089	0.000270015	0	0.000270015	0	0.000810045	0	0	0	0.000135007	0.001080059	0	0	0.002430134	0.000135007	0.00054003	0.000675037	0	0	0	0	0	0	0.015255839	0	0	0.000135007	0.000135007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000270015	0	0	0.001080059	0	0	9565L	PAIR_L	Daughter
9565L4	4	3.25E-05	0.966418275	0.000292864	0	0	3.25E-05	0.010022453	0	3.25E-05	0	3.25E-05	0.00530409	0	6.51E-05	6.51E-05	0.003254043	0.000130162	0	0	0.00224529	0.000455566	0.001594481	0.002798477	0	0	0	3.25E-05	3.25E-05	0	0.003872311	0	0	0	0.000162702	0	0	0.000130162	0	6.51E-05	0	0	0	0.000325404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.25E-05	0	9565L	PAIR_L	Daughter
N8418B	0	0	0.123731563	0.187521219	0	0	0.192840167	0.159228941	0.165528688	0.040778603	0.068580482	0.007846392	0.000301784	0	0	0	0.000226338	0.000113169	3.77E-05	0	0	0.014674262	0.000150892	0.00037723	0	0	0	0.0076955	0.008110453	0.006262024	0	0	3.77E-05	0.010826512	0	0	0.003055566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000188615	0	0	0	0	0	0	0	0	0	N8418	PAIR_N	Mother
N84181	1	0	0.099853896	0.128164595	0	0	0.185911715	0.211635649	0.063758952	0.02864602	0.026298771	0.048094656	0.000263467	0	0	0	2.40E-05	0.031304639	0	0.001437091	0	0.013556562	0.000239515	0.000455079	2.40E-05	0	0.146439606	0.005532802	0.003257407	0.000670643	0	0	9.58E-05	4.79E-05	0	0	0.001508946	7.19E-05	0	2.40E-05	0	7.19E-05	0	0	2.40E-05	0	0	0	0	0	0	0	0	0	0	0	0	2.40E-05	0	0	0	N8418	PAIR_N	Mother
N84182	2	3.17E-05	0.084250246	0.206836414	0	3.17E-05	0.144560358	0.158448806	0.089609031	0.050638932	0.030345309	0.063195612	6.34E-05	0	0	0	0.014490915	0	0	0.000761011	0	0.03186733	0.007166186	0	3.17E-05	0	0	0.010622443	0.017344706	0.001331769	0	0	0.000380505	0.041792181	0.000348797	0	0.005612455	0.032755176	0	0	0	0	0	6.34E-05	0	0	0.001236643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N8418	PAIR_N	Mother
N84183	3	0	0.244156883	0.267165861	0	3.63E-05	0.068263604	0.177383592	0.062738541	0.034713387	0.034640689	0.033114027	0.000690633	0	0	0	0.001272218	7.27E-05	0.00283523	0	3.63E-05	0.016611537	0.001017775	0.000218095	7.27E-05	0	0	0.013630911	0.005525063	0.003162371	0	0	0	0.021809458	0.000363491	0	0.00239904	0.001090473	0	0	0	3.63E-05	0	7.27E-05	0.000109047	0	0	0	3.63E-05	0	0	3.63E-05	0	0	0	0	0	7.27E-05	3.63E-05	0	3.63E-05	N8418	PAIR_N	Mother
N84184	4	0.052631579	0.368421053	0	0	0	0.052631579	0.105263158	0.105263158	0	0	0.052631579	0	0	0	0	0	0.210526316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.052631579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	N8418	PAIR_N	Mother
3946NB	0	0	0.244166211	0.258811034	0	0.008593775	0	0.020213074	0.059738003	0	0.178570279	0.07155042	0.00881908	0.003701439	0	0	0.019923396	0	0	0	0	0.000321864	0.055135344	0.001963372	0.01142618	0	6.44E-05	0	0	0.020180888	0	0	0.000643728	0.000869033	3.22E-05	0	0.001866813	0.00215649	0	9.66E-05	0	0	0.00225305	3.22E-05	0.000386237	0	0.000611542	0	0	0.010106537	0	0.006791335	0	9.66E-05	0	0	0	0	3.22E-05	0	0	3946N	PAIR_N	Daughter
3946N1	1	0	0.293244756	0.37931906	0	0.004874174	0	0.00238293	0.146802903	0	0.050510886	0.007257104	0.00245514	0.001841355	0	0	0.00028884	0	0	0	0	0.00014442	0.001624725	0.000397155	0.008268043	0	0	0	0	0.084810629	0	0	0	0	0	0	0.00108315	0.00014442	0	0	0	0.000541575	0	0.000974835	0.00028884	0	0	0	0	0	0	0.001985775	0	0	0	0	0	0	0	0	0	3946N	PAIR_N	Daughter
3946N2	2	3.21E-05	0.233019383	0.330643865	0	0.004661031	0	0.040309878	0.080394741	0	0.033720145	0.044263718	0.027001832	0.005303931	0	0	0.012279405	6.43E-05	0	0	0	0.002057282	0.036902504	0.001864412	0.041049214	0	3.21E-05	0	0	0.021280015	0	0	0	0.010061397	0.000450031	0	0.00382526	0.009836382	0.00038574	0	0	0.000225015	0.00025716	0.006782603	0.000450031	0	0.005464657	0	0	0.002057282	0	0.011411489	0	3.21E-05	0	0	0	0	3.21E-05	0	0	3946N	PAIR_N	Daughter
3946N3	3	0	0.50941169	0.320954569	0	0.000223328	0	0.002265186	0.060617662	0	0.049674579	0.025331802	0.001276161	0.001084737	0	3.19E-05	0.001148545	0.000350944	0	0	0	0.000191424	0.002903267	0.00031904	0.000382848	0	0	0.000255232	0	0.017036753	0	0	0	0.00015952	0	0	0.000255232	0.00015952	0.00031904	9.57E-05	0	0.000446656	6.38E-05	0.000191424	0	0	6.38E-05	0	0	0	0	0.000191424	0	0	0	0	0	0	0	0	0	3946N	PAIR_N	Daughter
3946N4	4	0	0.22362291	0.27220765	0	0.000313197	0.117801355	0.135497005	0.127079826	0.023098305	0.03785773	0.014563677	0.000900442	0	0	0	0.001722585	7.83E-05	0	0	0	0.006929491	0.000548095	0.000156599	0.000587245	0	0	0.010218064	0.002701327	0.010766159	0	0	0.000313197	0.002662178	0.000352347	0	0.004149865	0.000352347	0	0	0	0	0	0.000156599	0	0	7.83E-05	0	0	0	0	0.000704694	0	0	0	0	0	0	0	0	0	3946N	PAIR_N	Daughter
P8982B	0	8.23E-05	0	0.100172854	0.227631904	0.628652564	0	0.002057783	0	0	0	0.00028809	0.004774055	0	0	0	0.004362499	4.12E-05	0	0	0.006049881	0.000164623	0.00123467	0.001275825	0.000864269	0	8.23E-05	0	0	8.23E-05	0	0	0.000123467	4.12E-05	0	0	0.00028809	4.12E-05	0.002140094	0.000123467	0	0.000205778	0	0	0.000205778	0	0	0	0.000205778	0.012922874	0.000123467	0	8.23E-05	0	4.12E-05	0	0	0	0.000370401	8.23E-05	0.000246934	P8982	PAIR_P	Mother
P89821	1	0.000207684	0	0.148909657	0.068224299	0.716043614	0	0.000103842	0	0	0	5.19E-05	0.002647975	0	5.19E-05	0	0.002284528	0.000103842	0	0	0.029906542	0	0.002232606	0.000415369	0.020456906	0	0.000311526	0	0	0.000986501	0	0	0.000207684	0	0.000415369	0	0.000519211	0	0.000103842	0.000363448	0	0	0.000207684	0	0	0	0.000311526	0	0	5.19E-05	0.000778816	0.000103842	0	0	0	0	0	0	0.000259605	0	0.000155763	P8982	PAIR_P	Mother
P89822	2	0.000152541	0	0.16749039	0.290621758	0.521630362	0	0.00018305	0	0	0	0	0.002806761	0	0.00018305	0	0.001983037	0.00018305	0	0	0.005186406	0	0.00140338	0.000244066	0.003416926	0	0.000244066	0	0	0	0	0	0	0	9.15E-05	0	9.15E-05	0.000152541	0.001372872	6.10E-05	0	0.000122033	0	3.05E-05	3.05E-05	0	0	0	0.00018305	3.05E-05	0	0	0	0	0	0	0.000122033	3.05E-05	3.05E-05	0	0.000122033	P8982	PAIR_P	Mother
P89823	3	2.37E-05	0	0.046891265	0.28778272	0.642471846	0	0.000236586	0	0	0	0	0.00099366	0	0	0	0.000686098	0.001466831	0	0	0.010125864	2.37E-05	0.000544147	0.000851708	0.000354878	0	0.000402196	0	0	0	0	0	0.000118293	0	0	0	0.000260244	0.000118293	0.000425854	0	0	0.001703416	7.10E-05	0	0.000544147	0	0	0	0	0.00016561	0	4.73E-05	0	2.37E-05	0.000236586	0	7.10E-05	0	0.001017318	0	7.10E-05	P8982	PAIR_P	Mother
P89824	4	0	0.07110647	0.032942517	0.148526131	0.709925476	0	0.001139222	0.001566431	9.49E-05	0.006313191	0.00218351	0.006075853	0.000142403	0	0	0.002420848	0.001044287	0	0	0.007310011	4.75E-05	0.001946172	0.001803769	0.000759482	0	0.000142403	0	0	0.000949352	0	0	0	0	0.000237338	0	0	4.75E-05	9.49E-05	0.00018987	0	0	0.000712014	9.49E-05	4.75E-05	0	0	0	0.000284806	0.000237338	0.000142403	9.49E-05	0	0.000142403	0	0	0	0	0	0	0	P8982	PAIR_P	Mother
4302PB	0	0.803620074	0.000242145	0.000968582	6.05E-05	6.05E-05	0	0.021369332	0	0	0	0	0.004298081	0	0	0	0.007748653	6.05E-05	0	0	0.005266663	0.009443671	0.006235244	0.004903445	0.003874327	0	0	0	0	0	0	0	0	0.063744779	0.006053635	0	0.002239845	0.014891943	0	0.000726436	0	0.000363218	0	0.004661299	0	0	0.000121073	0	0.006780071	6.05E-05	0.0006659	0	6.05E-05	0	0	6.05E-05	6.05E-05	6.05E-05	0.000121073	0	6.05E-05	4302P	PAIR_P	Daughter
4302P1	1	0.898941244	0.002479969	0.000858451	4.77E-05	4.77E-05	0	0.001907669	0	0	0	9.54E-05	0.004673789	0	0	0	0.003863029	0.000190767	4.77E-05	0	0.013162915	0.002670736	0.002670736	0.002718428	0.00028615	0	0	0	0	0	0	0	0.000143075	0.009109119	0.00028615	0	0.000429225	0.003290729	4.77E-05	4.77E-05	0	0	4.77E-05	0.000143075	0.000190767	0	4.77E-05	0	0.005103014	0	9.54E-05	0	0.005436856	0.000572301	0	0.001239985	0.005436856	0.000143075	4.77E-05	0.001764594	0.00443533	4302P	PAIR_P	Daughter
4302P2	2	0.959564823	0.007494711	0.006708976	6.04E-05	6.04E-05	0.000664853	0.002598972	0.00296162	0.000120882	0.001148383	6.04E-05	0.000241765	0	0	0	0.000181324	0.000302206	0	0	0.013297069	0.000362647	0.000302206	0.001087942	0	0	0	0	0	0.00048353	0	0	0	0.000543971	0.00048353	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000302206	0	0	0	6.04E-05	0.000181324	0	0	0	0.000241765	0.000120882	0.000302206	0	4302P	PAIR_P	Daughter
4302P3	3	0.984202386	0.000220946	0.000220946	0.000110473	0	0	0.000883783	0.000110473	0	0	0	0.001104728	0	0	0	0.000662837	0.00154662	0	0	0.006076005	0.000110473	0.000331418	0.002319929	0	0	0	0	0	0	0	0	0	0	0	0	0.000110473	0	0	0	0	0.000220946	0	0	0	0	0	0	0	0.000552364	0.000220946	0.000110473	0.000220946	0	0	0	0.000441891	0	0	0	0	4302P	PAIR_P	Daughter
4302P4	4	0.971621198	0	0	0	0	0	0.002038257	0	0	0	0	0.001254312	0	0	0	0.003083516	0	0	0	0.007578133	0.000940734	0.001097523	0.000574893	0.000156789	0	0	0	0	0	0	0	0	0.003135779	5.23E-05	0	0	0.003083516	0	0.000156789	0	0	0	0	0	0	0	0	0.001933731	0	0.000104526	0	0.000104526	0	0	0	5.23E-05	0	0	0	0	4302P	PAIR_P	Daughter
Q5519B	0	0.097210734	0.751083612	0.111703008	0.001720544	0.015848857	0.000330874	0.00152202	0	6.62E-05	0	0.001158058	0.000595573	0	0.000595573	0	0.000595573	0	0	0	0.004268273	0.00013235	0.003110214	0.000694835	0	0	0	0	0	0.004069748	0	0	0	0.000727922	6.62E-05	0	6.62E-05	0.00013235	0	0.000496311	0	0	0	6.62E-05	0	0	0	0	0	0	6.62E-05	0	0	0	0	0	0	9.93E-05	3.31E-05	0	0	Q5519	PAIR_Q	Mother
Q55191	1	0.265935539	0.601168526	0.07183564	0.023538145	0.013050141	7.18E-05	0.00170011	0	7.18E-05	0	0.000885973	0.000766247	0	0.000742302	0	0.00059863	0.000502849	0	0	0.009530195	0.000263397	0.000981754	0.000263397	9.58E-05	0	0	0	4.79E-05	4.79E-05	0	0	0	0.000981754	7.18E-05	0	0.000143671	7.18E-05	0.000359178	9.58E-05	7.18E-05	0.000478904	0.000263397	0.000191562	0.000742302	0	0	0	4.79E-05	7.18E-05	4.79E-05	2.39E-05	0	4.79E-05	0	0.000119726	0	0	0.000862028	0	0	Q5519	PAIR_Q	Mother
Q55192	2	0.186086274	0.767525296	0.002550663	0.007623959	0.000812849	0	0.002046136	0	0	2.80E-05	0.001065112	0.001457522	0	0.002186282	0	0.002130224	5.61E-05	0	0	0.010342798	0.000784819	0.002074165	0.001289346	5.61E-05	0	0	0	8.41E-05	5.61E-05	0	0	0	0.000140146	0.00039241	0	2.80E-05	2.80E-05	0.000560585	0.000140146	0	0.00036438	0	8.41E-05	0.00039241	0	5.61E-05	2.80E-05	0.000112117	0	2.80E-05	8.41E-05	0	0	0	0	0	0	0	0	0	Q5519	PAIR_Q	Mother
Q55193	3	0.15850913	0.747936296	0.038689235	0.03126824	0.010672893	0	0.000667056	0.000166764	0	0	0.000333528	0.000667056	0	0.000583674	0	0	0	0	8.34E-05	0.004169099	0.000250146	0.000500292	0.00041691	0	0	0.000750438	0	0	0	0	0	0	0	0	0	0	0	0.00041691	8.34E-05	0	0.000166764	0.00041691	0	8.34E-05	0	0	0	0	0	0	0.000250146	0	0.000166764	0	0	0	0	0	0	0	Q5519	PAIR_Q	Mother
Q55194	4	0.054101111	0.628573238	0.249010732	0.007027763	0.02877584	0	6.33E-05	0	0	0	0.000981354	0.000728102	0	6.33E-05	0	0.000474849	3.17E-05	0	0.007122733	0.001266264	9.50E-05	0.001013011	0.000316566	0.002437557	0	0	0	0	0.005001741	0	0	0.000126626	0	6.33E-05	0	0.00120295	0	0	0	0	0	0.002659154	0.000158283	0	0	0	0	0	0.00129792	0	0.000158283	0	0.000506505	0	0	0	0	0	0	0	Q5519	PAIR_Q	Mother
5251QB	0	0.523473968	0.323698384	0.001211849	0.08981149	0.008123878	0.0005386	0.024192101	0.000763016	0.00013465	0.00013465	0.004308797	0.003904847	0.00013465	0.000314183	0.000179533	0.006328546	8.98E-05	0	0	0.005879713	0.001705566	0	4.49E-05	0	0	0	0	0	0	0	4.49E-05	0	0	0.00013465	0	4.49E-05	0	0	8.98E-05	0	0.003321364	0	0	0	0	0	0	0	4.49E-05	4.49E-05	0	0	0	0	0	0	0	0	0	0	5251Q	PAIR_Q	Daughter
5251Q1	1	0.296909642	0.598796435	4.52E-05	0.076964843	0.001764626	9.05E-05	0.000180987	4.52E-05	0	0	0.004207954	0.002624316	0	0	0	0.000180987	4.52E-05	0	0	0.016922311	0.00013574	0	0	0	0	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000904936	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.52E-05	0	0	5251Q	PAIR_Q	Daughter
5251Q2	2	0.248912809	0.595565124	0.001119483	0.039009688	0.005898816	0.000516685	0.006975242	0.000258342	4.31E-05	0	0.045511302	0.025274489	0.000861141	0.000516685	0	0.002841765	0	0	0	0.018945102	0.003013994	0	0	0	0.000129171	0	0.000387513	4.31E-05	0	0	0.000129171	0	0	0	0.000172228	0	0	0	0	0	0.001550054	0.000172228	0	0	0	0	0.000129171	0	4.31E-05	0	0	0	0	0	0	0	0	4.31E-05	0	4.31E-05	5251Q	PAIR_Q	Daughter
5251Q3	3	0.309603312	0.278037487	0.000178086	0.374738436	0.008325542	4.45E-05	0.002181559	0	4.45E-05	0.000356173	0.00138017	0.002404167	0	8.90E-05	0	0.000712346	0	0	0	0.021014202	0.000133565	0	0	0	0	0	0	0	0	0	0	0	8.90E-05	0	0	0	0	0	0	0	0	4.45E-05	4.45E-05	0	0	0	0	0	0	0	0	0	0	0	0.000133565	0	0	0.000400695	0	0	5251Q	PAIR_Q	Daughter
5251Q4	4	0.086391523	0.49771333	0.000390407	0.196040156	0.004182934	5.58E-05	0.009481316	5.58E-05	0.000167317	0	0.087060792	0.029168991	0	0.001059677	0	0.015114334	0	0	0	0.053374233	0.006860011	5.58E-05	0	0	0	5.58E-05	0	0	0	0	0	0	0.00022309	0.000167317	0	0	0	0	0	0	0.002007808	0.00250976	0.000111545	0	0	0	0.000278862	0	0	0	0	0	0.000334635	0	0	0	0	0.000167317	0	0	5251Q	PAIR_Q	Daughter
S5888B	0	0.00149925	0.007496252	0	0	0	0	0.077961019	0	0	0	0	0.035982009	0	0	0	0.044977511	0.004497751	0	0.614692654	0.00149925	0.00149925	0.026986507	0.03898051	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00149925	0	0.013493253	0	0.043478261	0	0.007496252	0.04197901	0	0	0	0	0	0.004497751	0.016491754	0	0	0	0	0	0	0.002998501	0	0	S5888	PAIR_S	Mother
S58881	1	0.000574933	0.004216175	0	0.000479111	0.000191644	0	0.016960521	0	0	0	0.003162131	0.014756612	0	0	0	0.020314297	0.010732081	0	0.765044078	9.58E-05	0.005461863	0.014852434	0.027405136	0.002587198	0	0.000670755	0	0	0	0	0	0.000670755	0.000862399	0.00354542	0	0.000766577	0.000383289	0	0.003353775	0	0.028363358	0	0.002874665	0.013606746	0	0.000287466	0.000383289	0	0	0	0.020314297	0.004695286	0.001149866	0	0.004982752	0.00354542	0	0.005270218	0.002778842	0.002970487	S5888	PAIR_S	Mother
S58882	2	0.036686391	0.001183432	0	0	0.000591716	0	0.021301775	0	0	0	0.001183432	0.059171598	0	0	0	0.04556213	0.007100592	0.000591716	0.381065089	0	0.01183432	0.013609467	0.062721893	0	0	0	0	0	0	0	0.002366864	0	0.002366864	0.026627219	0	0.00295858	0.002366864	0	0.01183432	0	0.182840237	0	0.001183432	0.036094675	0	0.001183432	0.000591716	0.001775148	0	0.00295858	0.033136095	0.00887574	0	0	0	0.000591716	0	0.001183432	0	0.002366864	S5888	PAIR_S	Mother
S58883	3	0	0.006289308	0	0.002096436	0	0	0.094339623	0	0	0	0	0.044025157	0	0	0	0.046121593	0.012578616	0.002096436	0.136268344	0	0.01048218	0.056603774	0.104821803	0.006289308	0	0	0	0	0	0	0	0	0.006289308	0.004192872	0	0	0.01048218	0	0.008385744	0	0.222222222	0.002096436	0.014675052	0.052410901	0	0	0	0	0	0.006289308	0.125786164	0	0	0	0	0	0.002096436	0	0	0	S5888	PAIR_S	Mother
S58884	4	0.000472255	0.031168831	0	0	0	0	0.000708383	0	0	0	0	0.000236128	0	0	0	0.00094451	0.502125148	0	0.458323495	0	0	0.000590319	0.000354191	0	0	0	0	0	0	0	0	0	0	0.000118064	0	0	0.000472255	0	0	0	0.00188902	0	0	0.001062574	0	0	0.000118064	0	0	0	0	0	0	0	0.000118064	0	0	0	0	0	S5888	PAIR_S	Mother
6806SB	0	0.000202224	0.854752275	0.001011122	0.117947422	0.020677452	0	0	0	0	0	0	0	0	0	0	0	0.000101112	0	0	5.06E-05	0	5.06E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.06E-05	5.06E-05	5.06E-05	0	0	0	0	0	0	0	0	5.06E-05	0	0	0	0	0	5.06E-05	0	0	5.06E-05	6806S	PAIR_S	Daughter
6806S1	1	4.11E-05	0.853041583	0	0.07452803	0.070620656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.11E-05	6806S	PAIR_S	Daughter
6806S2	2	5.54E-05	0.734780322	5.54E-05	0.232994657	0.02782315	0	2.77E-05	0	0	0	0	0.000692118	0	0	0	0.000636749	8.31E-05	0	0	0	5.54E-05	0.000276847	8.31E-05	0	0	0	0	0	0	0	0.000415271	0	8.31E-05	0.000276847	0	0	0	0	2.77E-05	0	0	0	0	0	0	8.31E-05	0	2.77E-05	0	0.000138424	2.77E-05	0	0	0	0	5.54E-05	0	0	0	0	6806S	PAIR_S	Daughter
6806S3	3	2.46E-05	0.894323316	0	0.026075427	0.078471813	0	0	0	0	0	0	0	0	0	0	0	2.46E-05	0	0.000147319	0	0	0	0	0	0	0	0	0	0	0	0	4.91E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.91E-05	0	2.46E-05	0	2.46E-05	0	0	0.000343744	0	7.37E-05	6806S	PAIR_S	Daughter
6806S4	4	0.0002145	0.926383526	0	0.005019305	0.066881167	0	8.58E-05	0	0	0	0	0	0	0	0	0	0	0	0.0001287	0	0	0	4.29E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0003003	0	0	0.0001287	0	8.58E-05	6806S	PAIR_S	Daughter
