Sample	Timepoint	Otu00001	Otu00002	Otu00003	Otu00004	Otu00005	Otu00006	Otu00007	Otu00008	Otu00009	Otu00010	Otu00011	Otu00012	Otu00013	Otu00014	Otu00015	Otu00016	Otu00017	Otu00018	Otu00019	Otu00020	Otu00021	Otu00022	Otu00023	Otu00024	Otu00025	Otu00026	Otu00027	Otu00028	Otu00029	Otu00030	Otu00031	Otu00032	Otu00033	Otu00034	Otu00035	Otu00036	Otu00037	Otu00038	Otu00039	Otu00040	Otu00041	Otu00043	Otu00044	Otu00045	Otu00046	Otu00047	Otu00050	Otu00051	Otu00052	Otu00053	Otu00054	Otu00055	Otu00059	Otu00064	Otu00067	Otu00069	Otu00075	Otu00078	Otu00079	Otu00084	Subject	Pair	Subject1
B82314	4	0.906740867	0	8.98E-05	8.98E-05	0	0	0.000134638	0	0	0	0.000942465	0.000852706	0	0	0	0.00188493	8.98E-05	0	0	0	0.000134638	0.001077103	0.000673189	0.001750292	0	0.005026479	0	0	0	0.004981599	0	0	0.000448793	0.000269276	0	0.000583431	0	0.002423481	0.000224396	0	0	0.047751548	0.000224396	0.000673189	0	0	0	0.000179517	0.00309667	0	0	0	0	0	0	0	0	0	0	0.000224396	B8231	PAIR_B	Mother
4738BB	0	0.977431959	0.015494476	0.000269469	0.000808407	0	0	6.74E-05	0	0	6.74E-05	0.000134735	0.000134735	0	0	0	0.000202102	0	0	0	0.000269469	0	0.000202102	0	0	0	0.000134735	0	0	0	0.003300997	0	0	0	0	0	0	0.000134735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4738B	PAIR_B	Daughter
4738B1	1	0.989381087	0.00263902	0.000565504	0.000377003	0	0.000188501	0.000125668	0	0.000251335	6.28E-05	0	0	6.28E-05	0	0.00050267	0.000628338	0	0	0	0.000314169	0	0	0.000314169	0	0	6.28E-05	0	0.000125668	0	0.003016023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4738B	PAIR_B	Daughter
4738B2	2	0.649401007	0.268128943	0.000578737	0.004572024	0	5.79E-05	0.000115747	0	0	0	0.001215348	0.002199201	0	0.000347242	5.79E-05	0.003298802	0.007118468	0	0	0.012037734	0.000173621	0.000289369	0.006192488	0	0	0.010590891	0	0	0	0.001041727	0	0	0	0	0	0	0.001620464	0	0	0	5.79E-05	5.79E-05	0	5.79E-05	0	0	0	0	0.000173621	0	0	0	0	0	0	0	0	0	0	0	4738B	PAIR_B	Daughter
4738B3	3	0.783508883	0.2003074	4.52E-05	0.003887709	0	4.52E-05	0.000542471	0	0	0	0.000135618	0	0	0.001084942	0	0.000723295	0.000180824	0	0	0.001898648	4.52E-05	0	0.000361647	0	0	0	0	0	0	0.004294562	0	0	0	4.52E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000406853	0	0	0	0	0	0	0	0	0	0	4738B	PAIR_B	Daughter
4738B4	4	0.877231257	0.102208118	0.000132223	0.001057781	0	0	0.000661113	0	0	0	0.000132223	0.000330557	0	0.001388338	0	0.004561682	0.000198334	0	0	0.000793336	0.000198334	0.000264445	0.001454449	0	0	0.000330557	0	0	0	0.001322227	0	0	0	0.00099167	0	0	0.000396668	0	6.61E-05	0	0	0.000198334	0	0	0	0	0	0	0	0.000727225	0	0	0	0	0	0	0	0	0	0	4738B	PAIR_B	Daughter
D6446B	0	0.62233871	0.000564516	0.169112903	8.06E-05	0.060241935	0	0.000322581	0.015080645	0	0	8.06E-05	0.010887097	0	0.00016129	0	0.006693548	0	0	0	0.002580645	0.004435484	0.000806452	0.021048387	0.001209677	0	0	0	0	0	0	0	0	0.00016129	0.000322581	0	0.001693548	0	0.001048387	0.001451613	0.06516129	0.000967742	0	0	0.001612903	0	8.06E-05	0	8.06E-05	8.06E-05	0	0.00016129	0.001451613	0	0.00016129	0	0.000887097	0.00016129	0.00016129	0.000322581	0.000887097	D6446	PAIR_D	Mother
D64461	1	0.600047304	7.88E-05	0.199463892	0	0.029801325	0	0.002286345	0.008908862	0	0	0	0.005597603	0	0	0	0.012693157	0.000946074	0	0	0	0.005045727	0.001261432	0.021838537	0.004415011	0	0	0	0	0	0	7.88E-05	7.88E-05	0	0.000709555	0	0.00157679	0	0.002128666	0.003232419	0.079154841	0.004099653	0	0	0.003153579	0	0.000315358	0	0.000315358	0.000867234	0	0.000236518	0	0	0.000630716	0	0	0	0	0	0	D6446	PAIR_D	Mother
D64462	2	0.575544389	0.002177554	0.286432161	0	0.027470687	0.004355109	0.003685092	0.050753769	0.000335008	0.001675042	0.000502513	0.004857621	0	0	0	0.00318258	0.000335008	0	0	0.000167504	0.000670017	0.001172529	0.00519263	0.000502513	0	0	0	0	0	0	0	0	0	0.000502513	0	0.000167504	0	0.000167504	0	0.012060302	0.002680067	0	0	0.003350084	0	0	0	0.000502513	0	0	0	0.000502513	0	0.007872697	0	0	0	0	0	0	D6446	PAIR_D	Mother
D64463	3	0.492107623	8.97E-05	0.366950673	4.48E-05	0.107578475	0	0.000493274	0.009461883	0	0.000269058	0	0.002780269	0	0	0	0.001345291	0.000493274	0	0	0.000179372	0.000134529	0.000896861	0.002376682	0.000179372	0	4.48E-05	0	0	0	0	0.000134529	0	0.000224215	8.97E-05	0	0	0	0.001300448	0.000224215	0.00058296	0.000403587	4.48E-05	0	0.003049327	0	0	0	8.97E-05	0	8.97E-05	4.48E-05	0	0	0.005112108	0	0	0	0	0	0	D6446	PAIR_D	Mother
